Unnamed: 0.1,Unnamed: 0,University Admission year,Gender,Age (Years),H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media? (Hours),Status of your English language proficiency,Average attendance on class (Percentage ),Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development? (Hours ),What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly Family Income ,Performance_Category
0,0,2021,Female,22,2019.0,BCSE,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development skill(Frontend),1,NETWORKING,Single,No,Bachelor,No,3.8,No,3.64,35.0,32500.0,Good Performance
1,1,2021,Male,22,2019.0,BCSE,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,"Software, Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,3.4,No,3.53,35.0,20000.0,Good Performance
2,2,2021,Male,20,2020.0,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,Yes,Family,No,3.93,No,3.89,35.0,30000.0,Good Performance
3,3,2021,Male,21,2020.0,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,1,"Software, Artificial Intelligence",In a relationship,No,Family,No,3.1,No,3.5,35.0,40000.0,Poor Performance
4,4,2021,Female,21,2019.0,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Web development,Single,Yes,Bachelor,No,3.81,No,3.65,34.0,30000.0,Good Performance
5,5,2021,Male,21,2020.0,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,1,"Machine Learning / Deep Learning, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.89,No,3.81,35.0,35000.0,Good Performance
6,6,2021,Female,20,2020.0,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,1,Software,Single,No,Family,No,3.79,No,3.82,39.0,50000.0,Good Performance
7,7,2021,Male,21,2020.0,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,"Software, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.28,No,3.32,35.0,8000.0,Good Performance
8,8,2021,Female,20,2020.0,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,35.0,200000.0,Good Performance
9,9,2022,Male,20,2020.0,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,"Software, Machine Learning / Deep Learning",Single,No,Family,No,3.9,No,3.9,12.0,60000.0,Good Performance
10,10,2020,Male,21,2019.0,BCSE,2,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,No,Bachelor,No,3.84,No,3.8,80.0,23000.0,Good Performance
11,11,2018,Male,24,2016.0,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,"Programming, Cyber security",2,"Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.31,No,3.52,132.0,350000.0,Poor Performance
12,12,2020,Male,21,2019.0,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85.0,20000.0,Moderate Performance
13,13,2019,Female,21,2019.0,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,"NETWORKING, Data Science",Single,No,Family,No,3.76,No,3.5,83.0,92000.0,Good Performance
14,14,2019,Male,23,2018.0,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3.84,No,3.1,73.0,30000.0,Good Performance
15,15,2021,Male,19,2020.0,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,"Programming, Photography ",1,"Software, NETWORKING, UI/UX",Single,Yes,Family,No,3.5,No,3.58,35.0,30000.0,Good Performance
16,16,2021,Male,21,2019.0,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",2,Software,Single,Yes,Family,No,3.38,No,3.82,27.0,40000.0,Poor Performance
17,17,2019,Female,21,2019.0,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,90,Yes,No,Yes,"Web development skill(Frontend), Networking",1,Software,Single,Yes,Bachelor,No,1.89,No,2.69,86.0,20000.0,Moderate Performance
18,18,2021,Female,19,2020.0,BCSE,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,"Software, NETWORKING, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,3.7,No,3.77,35.0,35000.0,Good Performance
19,19,2019,Male,25,2018.0,BCSE,11,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend), Networking",4,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning",Single,No,Bachelor,Yes,0.0,No,2.53,91.0,30000.0,Poor Performance
20,20,2018,Male,24,2017.0,BCSE,2,No,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,"Web development skill(Backend), Web development skill(Frontend)",5,Software,Married,Yes,Bachelor,No,2.2,No,2.66,110.0,60000.0,Poor Performance
21,21,2017,Male,22,2017.0,BCSE,3,Yes,No,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend), Networking",4,"Software, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,2.6,No,2.6,90.0,25000.0,Moderate Performance
22,22,2018,Male,23,2017.0,BCSE,2,No,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,"Programming, Software  Development skill",2,"Software, Hardware, Machine Learning / Deep Learning",Single,Yes,Family,No,2.87,No,2.99,120.0,,Moderate Performance
23,23,2019,Male,23,2018.0,BCSE,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,"Web development skill(Backend), Web development skill(Frontend), Graphics design ",1,"Hardware, UI/UX",In a relationship,Yes,Family,Yes,2.7,No,2.92,76.0,15000.0,Poor Performance
24,24,2018,Female,23,2016.0,BCSE,4,No,Yes,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,"Programming, Networking",2,Hardware,Single,No,Bachelor,Yes,2.98,Yes,2.96,118.0,20000.0,Poor Performance
25,25,2019,Male,22,2019.0,BCSE,9,No,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend), Cyber security, Java Script",7,Web Development,Single,No,Bachelor,No,3.52,No,2.9,100.0,15000.0,Moderate Performance
26,26,2023,Male,23,2018.0,BCSE,8,Yes,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,3.48,No,3.08,68.0,20000.0,Good Performance
27,27,2018,Male,25,2016.0,BCSE,4,No,No,6,4,Online,Yes,Yes,2,Advance,2,Yes,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend), Networking",4,Software,Single,Yes,Family,No,3.16,No,2.68,121.0,60000.0,Poor Performance
28,28,2021,Female,21,2019.0,BCSE,5,No,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,UI/UX,Married,No,Family,No,1.92,No,2.42,39.0,60000.0,Moderate Performance
29,29,2019,Male,23,2018.0,BCSE,11,No,Yes,5,5,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Networking,2,NETWORKING,Single,No,Bachelor,No,3.29,No,3.23,114.0,28000.0,Good Performance
30,30,2019,Female,22,2018.0,BCSE,9,No,Yes,3,1,Offline,Yes,Yes,5,Basic,80,Yes,No,No,Programming,3,Software,Married,No,Bachelor,Yes,2.0,No,2.22,77.0,4000.0,Moderate Performance
31,31,2019,Female,21,2018.0,BCSE,10,No,No,5,1,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Programming,2,"Software, Machine Learning / Deep Learning, Data Science",Single,No,Bachelor,Yes,3.3,No,3.24,105.0,80000.0,Good Performance
32,32,2019,Male,22,2018.0,BCSE,9,No,No,3,2,Offline,Yes,Yes,3,Basic,95,No,No,Yes,"Web development skill(Frontend), sports ",2,Data Science,Single,No,Bachelor,No,3.2,No,3.3,103.0,40000.0,Good Performance
33,33,2020,Female,23,2018.0,BCSE,7,No,Yes,3,2,Offline,Yes,Yes,4,Basic,40,Yes,Yes,Yes,Web development skill(Backend),2,"Software, Hardware",Married,Yes,Family,No,2.4,No,2.4,70.0,,Poor Performance
34,34,2021,Male,22,2020.0,BCSE,3,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Digital Marketing ",1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Family,No,2.16,No,2.75,35.0,40000.0,Moderate Performance
35,35,2021,Male,21,2020.0,BCSE,5,No,No,5,3,Offline,No,Yes,2,Intermediate,97,Yes,No,Yes,"Programming, Software  Development skill",4,Software,Single,No,Bachelor,No,0.0,No,2.31,46.0,50000.0,Moderate Performance
36,36,2021,Female,20,2020.0,BCSE,5,No,Yes,2,3,Offline,Yes,Yes,3,Basic,80,No,No,No,Programming,3,Software,Single,No,Family,Yes,1.75,Yes,2.51,39.0,50000.0,Moderate Performance
37,37,2020,Female,20,2018.0,BCSE,8,No,No,3,2,Offline,Yes,Yes,2,Advance,98,No,No,Yes,Programming,3,Hardware,Single,No,Family,No,2.6,No,,75.0,500000.0,Poor Performance
38,38,2021,Male,20,2020.0,BCSE,2,Yes,No,7,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend), Cyber security",9,"NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",In a relationship,No,Bachelor,No,3.33,No,3.5,33.0,40000.0,Poor Performance
39,39,2021,Male,24,2017.0,BCSE,4,No,No,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,2,Software,In a relationship,Yes,Bachelor,No,4.0,No,3.92,34.0,40000.0,Good Performance
40,40,2021,Male,22,2020.0,BCSE,2,Yes,Yes,6,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Cyber security,3,NETWORKING,Single,Yes,Family,No,3.25,No,3.25,11.0,30000.0,Good Performance
41,41,2019,Male,22,2018.0,BCSE,11,Yes,No,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Cyber security,2,Software,Single,Yes,Family,No,3.46,No,3.1,102.0,40000.0,Good Performance
42,42,2022,Male,19,2020.0,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,85,No,No,No,"Programming, Software  Development skill, Networking",1,"Software, NETWORKING",Single,No,Bachelor,No,3.73,No,3.73,11.0,20000.0,Good Performance
43,43,2014,Male,26,2014.0,BCSE,2,No,Yes,3,2,Online,Yes,Yes,1,Basic,100,Yes,No,Yes,"Cyber security, Networking",5,NETWORKING,Single,No,Family,No,2.0,No,2.0,80.0,25000.0,Moderate Performance
44,44,2019,Male,25,2017.0,BCSE,11,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Basic,1,Software,Single,Yes,Bachelor,No,3.78,No,3.56,132.0,27000.0,Good Performance
45,45,2017,Male,24,2015.0,BCSE,4,Yes,Yes,6,4,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,3.42,No,3.02,136.0,50000.0,Good Performance
46,46,2018,Female,21,2017.0,BCSE,4,No,No,4,5,Online,Yes,Yes,5,Advance,95,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,Yes,3.5,No,3.2,122.0,15000.0,Good Performance
47,47,2022,Female,21,2020.0,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Basic,70,Yes,No,No,Cyber security,1,Artificial Intelligence,Single,No,Family,No,3.9,No,3.8,12.0,25000.0,Good Performance
48,48,2019,Female,21,2018.0,BCSE,9,Yes,Yes,2,1,Online,Yes,Yes,5,Intermediate,95,No,No,No,Programming,1,Software,Single,No,Family,No,3.7,No,3.68,105.0,50000.0,Good Performance
49,49,2019,Female,21,2018.0,BCSE,11,Yes,No,5,2,Offline,Yes,Yes,5,Advance,99,No,No,No,Web development skill(Frontend),2,"Machine Learning / Deep Learning, Data Science",Single,Yes,Family,No,3.85,No,3.72,126.0,100000.0,Good Performance
50,50,2019,Female,23,2017.0,BCSE,9,No,Yes,3,2,Offline,Yes,Yes,1,Intermediate,80,No,No,No,"Programming, Web development skill(Frontend)",1,"Machine Learning / Deep Learning, Data Science",Single,No,Bachelor,No,3.82,No,3.6,84.0,30000.0,Good Performance
51,51,2022,Male,20,2020.0,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,2,Basic,100,No,No,No,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning",Single,Yes,Family,No,3.72,No,3.72,11.0,40000.0,Good Performance
52,52,2019,Female,21,2018.0,BCSE,2,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,3.51,No,3.56,125.0,40000.0,Good Performance
53,53,2020,Male,22,2018.0,BCSE,8,No,No,8,7,Online,Yes,No,4,Intermediate,90,No,No,Yes,"Software  Development skill, Web development skill(Frontend), Cyber security",5,"Software, Hardware, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,3.48,No,3.35,75.0,,Good Performance
54,54,2019,Male,22,2018.0,BCSE,11,No,No,3,2,Offline,Yes,Yes,20,Basic,90,No,No,Yes,Software  Development skill,1,Machine Learning / Deep Learning,Single,No,Bachelor,No,2.65,No,2.99,121.0,50000.0,Moderate Performance
55,55,2019,Male,22,2018.0,BCSE,11,No,Yes,6,3,Online,Yes,Yes,2,Intermediate,99,No,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,"Software, Machine Learning / Deep Learning, Artificial Intelligence",In a relationship,Yes,Bachelor,No,3.72,No,3.42,131.0,70000.0,Good Performance
56,56,2019,Female,23,2017.0,BCSE,10,Yes,Yes,2,3,Offline,Yes,Yes,1,Advance,95,No,No,Yes,Networking,2,NETWORKING,Married,Yes,Family,No,3.38,No,3.6,120.0,50000.0,Poor Performance
57,57,2018,Male,23,2017.0,BCSE,2,No,Yes,7,2,Online,Yes,Yes,2,Intermediate,80,Yes,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",1,"Software, NETWORKING, Data Science",In a relationship,Yes,Family,No,2.8,No,2.8,130.0,18000.0,Moderate Performance
58,58,2019,Female,21,2018.0,BCSE,9,No,No,5,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",2,Web development,Single,No,Family,Yes,3.36,No,3.59,100.0,,Poor Performance
59,59,2017,Male,25,2016.0,BCSE,3,No,No,1,1,Online,Yes,Yes,2,Intermediate,90,Yes,No,Yes,"Networking, MIS",2,"Hardware, NETWORKING, Data Science, MIS",Single,Yes,Family,Yes,2.11,Yes,2.54,126.0,80000.0,Moderate Performance
60,60,2021,Male,21,2020.0,BCSE,4,No,No,1,1,Offline,Yes,Yes,6,Basic,50,No,No,Yes,Programming,20,Software,Single,No,Family,Yes,2.83,No,3.05,35.0,20000.0,Moderate Performance
61,61,2019,Male,23,2018.0,BCSE,11,No,Yes,6,3,Offline,Yes,Yes,6,Intermediate,98,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",3,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Family,No,3.2,No,3.22,110.0,50000.0,Good Performance
62,62,2022,Male,20,2020.0,BCSE,2,No,No,5,3,Offline,No,Yes,2,Basic,100,No,No,No,Programming,5,Software,Single,Yes,Bachelor,No,3.48,No,3.48,11.0,20000.0,Good Performance
63,63,2022,Female,20,2020.0,BCSE,2,Yes,No,5,1,Offline,Yes,Yes,6,Intermediate,90,No,No,No,Programming,4,"Software, NETWORKING",Single,No,Family,Yes,4.0,No,,11.0,30000.0,Poor Performance
64,64,2022,Male,20,2020.0,BCSE,1,Yes,Yes,2,7,Offline,Yes,Yes,6,Basic,100,Yes,No,No,"Web development skill(Backend), Web development skill(Frontend)",4,"Software, Hardware, Data Science",Single,No,Family,No,4.0,No,4.0,14.0,40000.0,Good Performance
65,65,2019,Male,23,2017.0,BCSE,9,Yes,Yes,4,2,Offline,Yes,Yes,6,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",1,Machine Learning / Deep Learning,Single,No,Bachelor,No,3.7,No,3.5,89.0,50000.0,Good Performance
66,66,2022,Female,21,2019.0,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Software  Development skill,3,Software,Single,No,Family,No,3.68,No,0.0,11.0,25000.0,Moderate Performance
67,67,2022,Male,21,2020.0,BCSE,4,Yes,No,5,2,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,3.3,No,3.3,11.0,50000.0,Good Performance
68,68,2019,Male,21,2018.0,BCSE,11,Yes,No,2,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",5,"Software, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Bachelor,No,4.0,No,3.78,120.0,50000.0,Good Performance
69,69,2022,Female,19,2020.0,BCSE,2,Yes,No,6,5,Offline,Yes,Yes,1,Intermediate,95,No,No,No,"Programming, Software  Development skill",2,Software,Single,No,Bachelor,No,3.56,No,3.58,11.0,10000.0,Excellent Performance
70,70,2019,Male,23,2018.0,BCSE,11,No,Yes,1,1,Offline,Yes,Yes,2,Advance,65,No,No,Yes,"Digital Marketing, Teaching Chemistry",1,"Hardware, Physics",In a relationship,No,Family,No,1.68,No,3.1,120.0,,Moderate Performance
71,71,2022,Male,20,2020.0,BCSE,2,No,Yes,3,3,Online,Yes,Yes,5,Basic,80,No,No,No,Programming,2,NETWORKING,Single,No,Bachelor,No,2.54,No,2.54,11.0,40000.0,Moderate Performance
72,72,2022,Male,20,2020.0,BCSE,2,No,No,7,3,Offline,Yes,Yes,1,Basic,95,No,No,No,Programming,1,Software,Single,No,Bachelor,No,3.9,No,3.9,11.0,50000.0,Excellent Performance
73,73,2019,Female,22,2019.0,BCSE,9,Yes,Yes,6,3,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Networking,1,NETWORKING,Single,No,Family,No,3.84,No,3.77,99.0,60000.0,Good Performance
74,74,2019,Male,22,2018.0,BCSE,4,Yes,Yes,1,2,Offline,Yes,Yes,20,Intermediate,70,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend), Android Developing",6,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Bachelor,Yes,3.68,No,3.39,117.0,16000.0,Moderate Performance
75,75,2018,Female,23,2016.0,BCSE,9,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,95,No,No,No,Web development skill(Frontend),2,Machine Learning / Deep Learning,Single,No,Family,No,3.14,No,3.14,101.0,40000.0,Good Performance
76,76,2017,Male,26,2014.0,BCSE,4,No,No,3,2,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",6,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,No,Bachelor,No,2.73,No,3.08,110.0,25000.0,Good Performance
77,77,2022,Male,20,2020.0,BCSE,2,Yes,Yes,5,2,Online,Yes,Yes,12,Intermediate,70,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.61,No,,11.0,40000.0,Poor Performance
78,78,2022,Female,19,2020.0,BCSE,1,No,No,7,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,I want to learn programming and web development,2,Software,Single,Yes,Bachelor,No,,No,,20.0,50000.0,Poor Performance
79,79,2020,Male,22,2019.0,BCSE,8,No,No,2,1,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,"Programming, Web development skill(Frontend)",2,"Software, Hardware, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.12,No,3.08,83.0,30000.0,Good Performance
80,80,2018,Male,24,2017.0,BCSE,12,No,No,5,6,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Networking,3,NETWORKING,In a relationship,No,Family,No,3.68,No,3.33,118.0,20000.0,Good Performance
81,81,2019,Male,24,2018.0,BCSE,11,Yes,No,4,2,Online,Yes,No,30,Intermediate,85,Yes,Yes,Yes,"Programming, Networking",1,"NETWORKING, Data Science",Single,No,Family,No,2.25,No,2.64,103.0,20000.0,Moderate Performance
82,82,2019,Male,22,2018.0,BCSE,11,Yes,No,1,2,Online,Yes,Yes,30,Intermediate,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",1,"Software, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",In a relationship,No,Family,No,3.5,No,3.43,126.0,100000.0,Good Performance
83,83,2022,Female,20,2020.0,BCSE,1,Yes,Yes,6,2,Offline,No,No,1,Basic,100,No,No,Yes,"Programming, Software  Development skill",3,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,No,Family,No,,No,,20.0,50000.0,Poor Performance
84,84,2022,Male,20,2020.0,BCSE,2,Yes,No,1,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,"Software, NETWORKING, Artificial Intelligence",Single,No,Family,No,3.83,No,3.83,11.0,35000.0,Good Performance
85,85,2019,Male,22,2018.0,BCSE,2,No,Yes,4,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",4,"Software, Machine Learning / Deep Learning, UI/UX",Single,No,Family,No,1.98,No,2.98,104.0,25000.0,Moderate Performance
86,86,2021,Female,19,2020.0,BCSE,2,No,Yes,3,2,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,2,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Family,Yes,3.37,Yes,,11.0,50000.0,Poor Performance
87,87,2022,Male,20,2021.0,BCSE,1,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,100,No,No,No,"Software  Development skill, Cyber security, Networking",2,"Software, NETWORKING, Data Science",Single,Yes,Family,No,0.0,No,0.0,20.0,,Moderate Performance
88,88,2017,Female,23,2014.0,BCSE,2,No,No,3,2,Online,Yes,Yes,3,Basic,90,No,No,Yes,Software  Development skill,2,Software,Married,No,Family,No,2.79,No,2.84,133.0,30000.0,Moderate Performance
89,89,2021,Male,21,2019.0,BCSE,3,Yes,No,5,3,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,1,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3.52,No,3.65,23.0,50000.0,Good Performance
90,90,2019,Female,23,2018.0,BCSE,11,Yes,No,4,2,Online,Yes,Yes,5,Advance,70,Yes,No,No,Cyber security,2,UI/UX,Married,Yes,Bachelor,Yes,3.01,No,2.89,120.0,90000.0,Poor Performance
91,91,2021,Female,20,2020.0,BCSE,3,Yes,No,3,2,Offline,Yes,Yes,2,Advance,90,No,No,Yes,Programming,2,NETWORKING,In a relationship,No,Family,No,3.18,No,3.18,24.0,80000.0,Good Performance
92,92,2021,Male,19,2020.0,BCSE,3,Yes,Yes,5,10,Offline,Yes,Yes,5,Intermediate,100,No,No,Yes,"Programming, Web development skill(Frontend), Cyber security",3,"Software, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.72,No,3.89,26.0,60000.0,Good Performance
93,93,2021,Female,21,2020.0,BCSE,5,Yes,Yes,3,2,Online,Yes,No,10,Intermediate,70,No,No,Yes,Programming,3,Software,Single,No,Family,Yes,2.8,No,2.9,40.0,500000.0,Poor Performance
94,94,2021,Male,21,2020.0,BCSE,3,Yes,No,2,2,Online,Yes,Yes,3,Basic,90,No,No,Yes,Programming,1,Software,Single,No,Family,No,3.42,No,3.56,23.0,50000.0,Good Performance
95,95,2021,Male,20,2020.0,BCSE,2,Yes,No,3,2,Offline,Yes,Yes,3,Basic,85,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.49,No,3.03,25.0,40000.0,Good Performance
96,96,2021,Female,19,2020.0,BCSE,3,No,Yes,2,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,"Software, Artificial Intelligence, Data Science",Single,No,Family,No,4.59,No,4.67,23.0,100000.0,Good Performance
97,97,2021,Female,22,2017.0,BCSE,5,Yes,Yes,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,3.86,No,3.67,49.0,30000.0,Good Performance
98,98,2022,Male,20,2020.0,BCSE,1,Yes,Yes,3,1,Offline,Yes,Yes,1,Advance,100,No,No,Yes,Programming,1,"Software, Data Science",Single,No,Family,No,0.0,No,0.0,0.0,30000.0,Moderate Performance
99,99,2021,Male,21,2020.0,BCSE,5,Yes,Yes,6,3,Online,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Software  Development skill",2,"Software, Hardware, Machine Learning / Deep Learning",Single,Yes,Family,No,3.82,No,3.7,55.0,50000.0,Good Performance
100,100,2021,Male,21,2019.0,BCSE,3,Yes,No,2,1,Online,Yes,Yes,2,Intermediate,75,No,No,Yes,"Programming, Designing(Photoshop), video editing ",1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,No,Family,No,3.58,No,3.1,23.0,40000.0,Moderate Performance
101,101,2021,Male,21,2020.0,BCSE,5,No,No,5,2,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,2.57,No,2.8,45.0,30000.0,Moderate Performance
102,102,2021,Male,22,2020.0,BCSE,3,Yes,No,5,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,"Programming, Mentoring ",2,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.86,No,3.92,23.0,40000.0,Good Performance
103,103,2022,Male,22,2019.0,BCSE,2,No,No,3,1,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Programming,1,"Software, UI/UX",Single,Yes,Bachelor,No,4.0,No,0.0,11.0,40000.0,Moderate Performance
104,104,2020,Male,23,2018.0,BCSE,6,No,No,1,2,Online,Yes,Yes,2,Intermediate,90,Yes,No,No,Programming,1,"Software, Data Science",Single,Yes,Bachelor,No,3.1,No,3.4,65.0,,Good Performance
