Unnamed: 0.1,Unnamed: 0,University Admission year,Gender,Age (Years),H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media? (Hours),Status of your English language proficiency,Average attendance on class (Percentage ),Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development? (Hours ),What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly Family Income ,Performance_Category
730,730,2020,Male,24,2018.0,BCSE,8,No,No,2,4,Offline,Yes,Yes,8,Basic,98,No,No,No,Networking,3,Hardware,Single,No,Family,Yes,2.53,No,3.36,76.0,100000.0,Good Performance
731,731,2019,Female,23,2019.0,BCSE,5,No,No,2,1,Offline,Yes,Yes,7,Basic,90,Yes,No,Yes,Networking,2,Hardware,Single,Yes,Bachelor,No,2.54,No,3.57,84.0,100000.0,Poor Performance
732,732,2019,Female,22,2019.0,BCSE,6,No,No,4,2,Offline,Yes,Yes,4,Intermediate,80,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.45,No,3.5,16.0,100000.0,Poor Performance
733,733,2020,Female,21,2020.0,BCSE,8,Yes,Yes,8,3,Offline,Yes,Yes,2,Advance,100,No,No,No,Networking,4,UI/UX,Single,No,Family,No,2.91,No,4.0,97.0,100000.0,Poor Performance
734,734,2022,Male,20,2021.0,BCSE,6,No,No,1,2,Offline,Yes,Yes,2,Intermediate,54,No,No,Yes,Networking,4,Hardware,Married,Yes,Family,No,2.67,No,3.77,78.0,100000.0,Poor Performance
735,735,2019,Female,22,2018.0,BCSE,11,No,No,5,3,Offline,Yes,Yes,8,Intermediate,77,No,No,Yes,Machine Learning,2,Software,Single,No,Bachelor,No,2.33,No,3.88,144.0,110000.0,Poor Performance
736,736,2021,Male,24,2019.0,BCSE,10,No,No,1,2,Online,Yes,Yes,3,Basic,100,Yes,No,No,Networking,4,Hardware,Married,Yes,Family,No,2.87,No,3.91,140.0,110000.0,Poor Performance
737,737,2020,Female,20,2020.0,BCSE,10,No,No,4,2,Online,Yes,No,9,Advance,100,No,No,No,Artificial Intelligence,4,Hardware,In a relationship,Yes,Bachelor,No,2.09,No,3.23,119.0,110000.0,Good Performance
738,738,2020,Female,25,2018.0,BCSE,9,No,No,3,3,Online,Yes,Yes,3,Intermediate,77,Yes,No,Yes,Networking,2,Hardware,Married,Yes,Family,No,1.67,No,2.73,124.0,112000.0,Poor Performance
739,739,2022,Female,20,2021.0,BCSE,5,No,No,1,1,Online,Yes,Yes,10,Intermediate,45,Yes,No,No,Cyber security,1,Data Science,In a relationship,Yes,Family,No,1.15,No,2.39,75.0,112000.0,Poor Performance
740,740,2022,Female,21,2021.0,BCSE,5,No,No,2,2,Offline,Yes,Yes,3,Advance,100,Yes,No,Yes,Web development skill(Frontend),4,Software,Married,No,Family,No,2.56,No,3.64,68.0,113000.0,Poor Performance
741,741,2021,Male,20,2020.0,BCSE,7,No,No,3,2,Offline,Yes,No,3,Basic,100,No,No,No,Programming,3,Software,Single,No,Bachelor,No,1.99,No,2.94,88.0,120000.0,Moderate Performance
742,742,2023,Female,19,2021.0,BCSE,2,Yes,No,6,4,Offline,Yes,Yes,4,Intermediate,100,No,Yes,No,Cyber security,3,Data Science,Single,Yes,Bachelor,No,2.78,No,3.8,29.0,120000.0,Poor Performance
743,743,2020,Male,20,2020.0,BCSE,11,No,No,3,3,Offline,Yes,Yes,3,Advance,100,No,No,No,Artificial Intelligence,1,Data Science,In a relationship,No,Bachelor,No,1.46,No,2.51,143.0,122000.0,Moderate Performance
744,744,2020,Male,20,2020.0,BCSE,10,Yes,No,2,2,Offline,Yes,Yes,2,Intermediate,64,Yes,No,No,Networking,4,Hardware,Single,No,Bachelor,Yes,2.67,No,3.78,136.0,127000.0,Poor Performance
745,745,2020,Male,21,2018.0,BCSE,9,No,No,5,3,Online,Yes,No,7,Intermediate,100,No,No,Yes,Networking,2,Hardware,Single,No,Bachelor,No,2.32,No,3.78,123.0,130000.0,Poor Performance
746,746,2022,Female,21,2020.0,BCSE,4,No,No,4,2,Offline,Yes,Yes,7,Intermediate,79,No,No,No,Artificial Intelligence,3,Hardware,Married,Yes,Family,No,2.22,No,3.41,59.0,133000.0,Moderate Performance
747,747,2022,Female,20,2020.0,BCSE,3,No,No,4,2,Offline,Yes,Yes,7,Intermediate,80,No,No,Yes,Programming,1,UI/UX,Single,No,Bachelor,No,1.88,No,2.97,29.0,140000.0,Moderate Performance
748,748,2020,Male,25,2018.0,BCSE,9,No,No,3,1,Offline,Yes,Yes,2,Advance,87,Yes,No,No,Networking,4,Hardware,Single,Yes,Family,No,1.54,No,2.62,121.0,144000.0,Moderate Performance
749,749,2021,Male,20,2020.0,BCSE,8,No,No,3,3,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Networking,1,Hardware,Single,Yes,Family,No,2.78,No,3.86,89.0,145000.0,Poor Performance
750,750,2019,Male,21,2018.0,BCSE,11,No,No,2,2,Offline,Yes,Yes,3,Intermediate,80,No,No,No,Programming,4,UI/UX,Single,No,Bachelor,No,2.1,No,3.41,139.0,150000.0,Good Performance
751,751,2020,Male,24,2019.0,BCSE,11,No,No,2,3,Offline,Yes,No,2,Advance,100,Yes,No,Yes,Networking,1,Hardware,Single,No,Family,No,2.57,No,3.63,144.0,150000.0,Poor Performance
752,752,2022,Female,19,2021.0,BCSE,4,No,No,5,2,Offline,Yes,Yes,4,Intermediate,100,No,No,No,Artificial Intelligence,1,Software,In a relationship,Yes,Family,No,2.44,No,3.59,68.0,155000.0,Poor Performance
753,753,2019,Male,23,2019.0,BCSE,10,No,No,3,1,Online,Yes,Yes,2,Basic,78,Yes,Yes,No,Networking,1,Hardware,Married,No,Family,No,1.67,No,2.77,139.0,160000.0,Poor Performance
754,754,2021,Female,21,2020.0,BCSE,6,No,No,3,3,Online,Yes,Yes,5,Advance,100,No,No,No,Artificial Intelligence,1,Hardware,In a relationship,Yes,Bachelor,No,1.55,No,2.61,92.0,165000.0,Moderate Performance
755,755,2021,Female,20,2020.0,BCSE,9,No,No,2,1,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Cyber security,1,Data Science,Single,Yes,Family,Yes,2.34,No,3.42,103.0,165000.0,Good Performance
756,756,2021,Male,20,2020.0,BCSE,7,No,No,2,1,Offline,Yes,Yes,6,Basic,80,Yes,No,No,Web development skill(Backend),2,Hardware,Single,Yes,Family,No,1.54,No,2.95,90.0,169000.0,Moderate Performance
757,757,2020,Male,21,2020.0,BCSE,5,No,No,4,3,Offline,Yes,Yes,5,Basic,70,No,No,Yes,Web development skill(Backend),2,Software,In a relationship,No,Family,No,2.0,No,3.03,71.0,170000.0,Moderate Performance
758,758,2020,Female,21,2018.0,BCSE,9,No,No,2,1,Online,Yes,Yes,10,Intermediate,50,Yes,No,Yes,Cyber security,2,Hardware,In a relationship,No,Family,No,1.35,No,2.66,105.0,200000.0,Poor Performance
759,759,2020,Female,20,2019.0,BCSE,7,No,No,6,5,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Programming,4,Software,Single,No,Family,No,2.64,Yes,3.34,70.0,200000.0,Good Performance
760,760,2020,Female,22,2019.0,BCSE,9,No,No,3,4,Offline,Yes,Yes,8,Intermediate,50,Yes,No,No,Cyber security,1,UI/UX,In a relationship,No,Bachelor,No,1.7,No,3.0,95.0,200000.0,Moderate Performance
761,761,2020,Female,22,2019.0,BCSE,10,No,No,3,2,Online,Yes,Yes,7,Intermediate,88,No,No,No,Web development skill(Frontend),5,Networking,In a relationship,No,Family,No,2.9,No,3.93,125.0,200000.0,Poor Performance
762,762,2020,Female,21,2020.0,BCSE,10,No,No,5,2,Offline,Yes,Yes,6,Advance,80,No,No,Yes,Programming,3,UI/UX,Single,No,Bachelor,No,1.9,No,3.1,99.0,200000.0,Good Performance
763,763,2020,Male,22,2019.0,BCSE,10,No,No,3,2,Offline,Yes,Yes,9,Intermediate,75,No,No,No,Cyber security,2,Hardware,Single,No,Bachelor,No,2.01,No,3.08,126.0,250000.0,Moderate Performance
764,764,2021,Female,20,2021.0,BCSE,7,Yes,No,5,4,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Programming,4,UI/UX,Single,No,Family,No,2.33,No,3.89,104.0,277000.0,Poor Performance
765,765,2020,Male,20,2020.0,BCSE,7,Yes,Yes,6,2,Online,Yes,Yes,4,Advance,70,No,No,No,Programming,3,Software,Single,No,Family,No,1.6,No,2.9,30.0,20000.0,Poor Performance
766,766,2020,Male,23,2019.0,BCSE,11,Yes,Yes,4,6,Online,Yes,Yes,3,Intermediate,96,No,No,No,Networking,3,Data Science,Single,No,Family,No,2.67,No,3.4,140.0,30000.0,Good Performance
767,767,2022,Male,21,2021.0,BCSE,5,No,Yes,2,1,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development skill(Backend),4,Software,Single,Yes,Bachelor,No,1.05,No,2.8,18.0,,Moderate Performance
768,768,2022,Female,21,2021.0,BCSE,6,No,Yes,2,2,Offline,Yes,No,3,Advance,100,Yes,No,Yes,Programming,2,UI/UX,In a relationship,Yes,Bachelor,No,1.47,No,2.54,88.0,32000.0,Moderate Performance
769,769,2022,Male,23,2020.0,BCSE,5,No,Yes,7,5,Offline,Yes,Yes,1,Basic,100,Yes,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,1.58,Yes,1.42,14.0,35000.0,Moderate Performance
770,770,2021,Male,23,2020.0,BCSE,5,No,Yes,6,5,Offline,Yes,Yes,4,Basic,90,No,No,No,Web development skill(Backend),5,Software,Single,Yes,Bachelor,No,2.45,No,2.39,40.0,35000.0,Moderate Performance
771,771,2021,Male,19,2021.0,BCSE,8,No,Yes,3,3,Online,Yes,Yes,2,Advance,89,No,No,No,Cyber security,4,Data Science,Single,No,Family,No,1.87,No,2.8,136.0,35000.0,Moderate Performance
772,772,2020,Male,21,2019.0,BCSE,9,No,Yes,3,2,Online,Yes,Yes,8,Intermediate,70,No,No,No,Programming,1,Software,Single,No,Family,No,2.33,No,3.47,128.0,37000.0,Moderate Performance
773,773,2020,Male,24,2019.0,BCSE,11,No,Yes,1,3,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Cyber security,2,Data Science,In a relationship,No,Bachelor,No,2.9,No,3.92,144.0,37000.0,Poor Performance
774,774,2021,Female,19,2021.0,BCSE,6,No,Yes,3,1,Offline,Yes,Yes,5,Advance,60,Yes,No,No,Cyber security,3,Data Science,Single,No,Bachelor,No,1.78,No,2.63,97.0,37000.0,Poor Performance
775,775,2020,Female,21,2019.0,BCSE,11,No,Yes,4,2,Offline,Yes,Yes,7,Advance,100,No,No,No,Cyber security,2,Software,Single,No,Family,No,2.77,No,3.91,139.0,38000.0,Poor Performance
776,776,2021,Female,22,2021.0,BCSE,7,No,Yes,4,2,Offline,Yes,Yes,5,Advance,100,No,No,No,Cyber security,2,Hardware,In a relationship,No,Family,No,1.98,No,3.03,111.0,39000.0,Good Performance
777,777,2020,Male,23,2018.0,BCSE,11,No,Yes,5,2,Online,Yes,Yes,11,Basic,35,No,No,Yes,Programming,2,Software,In a relationship,Yes,Bachelor,No,1.43,No,2.65,107.0,40000.0,Poor Performance
778,778,2021,Male,20,2020.0,BCSE,9,Yes,Yes,5,4,Offline,Yes,Yes,3,Advance,100,No,No,No,Cyber security,3,Software,Single,No,Family,No,2.77,No,3.96,129.0,42000.0,Poor Performance
779,779,2020,Female,20,2020.0,BCSE,11,Yes,Yes,2,2,Online,Yes,Yes,3,Advance,43,Yes,No,No,Networking,4,Hardware,Married,No,Family,No,2.81,No,3.9,144.0,43000.0,Poor Performance
780,780,2020,Female,21,2019.0,BCSE,11,No,Yes,3,1,Online,Yes,Yes,3,Intermediate,70,No,No,No,Programming,2,Software,In a relationship,No,Bachelor,Yes,2.1,No,3.2,137.0,45000.0,Moderate Performance
781,781,2020,Female,25,2019.0,BCSE,11,No,Yes,2,2,Offline,Yes,Yes,2,Intermediate,67,Yes,No,No,Machine Learning,4,Data Science,In a relationship,Yes,Bachelor,No,1.87,No,2.92,144.0,45000.0,Poor Performance
782,782,2022,Female,22,2020.0,BCSE,5,Yes,Yes,1,2,Offline,Yes,Yes,7,Intermediate,100,No,No,Yes,Programming,1,Software,Single,Yes,Family,Yes,2.58,No,3.74,39.0,45000.0,Poor Performance
783,783,2021,Female,22,2021.0,BCSE,6,No,Yes,3,1,Offline,Yes,Yes,7,Intermediate,80,Yes,No,Yes,Cyber security,2,Hardware,In a relationship,No,Bachelor,No,1.77,No,2.82,109.0,45000.0,Moderate Performance
784,784,2018,Male,24,2018.0,BCSE,11,No,Yes,3,1,Offline,Yes,Yes,7,Intermediate,88,Yes,No,Yes,Artificial Intelligence,3,Hardware,Single,No,Family,No,2.16,No,3.33,143.0,46000.0,Good Performance
785,785,2020,Female,23,2018.0,BCSE,11,Yes,Yes,1,1,Offline,Yes,No,2,Advance,100,No,No,No,Programming,3,Hardware,Single,Yes,Family,Yes,2.53,No,3.81,132.0,50000.0,Poor Performance
786,786,2022,Male,23,2020.0,BCSE,8,No,Yes,3,4,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Web development skill(Frontend),2,Software,In a relationship,No,Family,No,2.75,No,3.64,18.0,50000.0,Poor Performance
787,787,2020,Female,20,2020.0,BCSE,9,No,Yes,3,2,Online,Yes,Yes,7,Advance,70,No,No,Yes,Web development skill(Backend),1,UI/UX,Single,Yes,Family,No,2.01,No,3.15,131.0,50000.0,Moderate Performance
788,788,2021,Female,20,2020.0,BCSE,9,Yes,Yes,6,3,Online,Yes,Yes,3,Intermediate,76,No,No,Yes,Artificial Intelligence,3,Hardware,Single,Yes,Family,No,2.77,No,3.8,129.0,50000.0,Poor Performance
789,789,2019,Female,22,2018.0,BCSE,11,No,Yes,3,2,Online,Yes,Yes,11,Intermediate,80,No,No,No,Web development skill(Backend),2,UI/UX,Single,No,Bachelor,No,2.04,No,3.16,143.0,51000.0,Good Performance
790,790,2021,Male,20,2020.0,BCSE,7,Yes,Yes,5,3,Online,Yes,Yes,4,Intermediate,55,No,No,Yes,Cyber security,2,Data Science,Single,No,Family,No,2.01,No,3.13,101.0,51000.0,Moderate Performance
791,791,2021,Female,20,2020.0,BCSE,8,No,Yes,3,2,Online,Yes,Yes,3,Basic,24,No,No,Yes,Programming,4,UI/UX,In a relationship,Yes,Bachelor,No,1.87,No,2.93,117.0,52000.0,Poor Performance
792,792,2020,Male,24,2019.0,BCSE,10,Yes,Yes,6,2,Offline,Yes,Yes,3,Advance,100,No,No,No,Cyber security,1,Data Science,Married,Yes,Family,No,2.02,No,3.11,134.0,53000.0,Good Performance
793,793,2021,Male,21,2021.0,BCSE,9,No,Yes,4,2,Offline,Yes,Yes,6,Intermediate,70,No,No,Yes,Programming,2,UI/UX,In a relationship,Yes,Bachelor,No,1.98,No,2.97,105.0,53000.0,Poor Performance
794,794,2020,Male,21,2019.0,BCSE,9,No,Yes,3,2,Online,Yes,Yes,5,Advance,100,No,No,No,Cyber security,1,Software,Single,Yes,Family,No,2.56,No,3.79,132.0,55000.0,Poor Performance
795,795,2019,Male,23,2019.0,BCSE,11,No,Yes,3,1,Online,Yes,Yes,2,Intermediate,100,Yes,No,No,Networking,1,Hardware,Married,Yes,Family,No,1.54,No,2.66,143.0,55000.0,Moderate Performance
796,796,2020,Male,23,2019.0,BCSE,11,No,Yes,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Programming,1,Software,Single,Yes,Bachelor,No,1.56,No,2.65,143.0,55000.0,Moderate Performance
797,797,2022,Female,20,2020.0,BCSE,6,No,Yes,3,2,Offline,Yes,Yes,3,Basic,30,No,No,Yes,Networking,1,Hardware,In a relationship,Yes,Family,No,1.88,No,2.98,77.0,55000.0,Poor Performance
